granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3_all,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,549407,511651,353393,78.5,73.1,50.5,699827,Oslo,2022-06-09
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372622,345744,250673,76.7,71.2,51.6,485797,Rogaland,2022-06-09
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214594,201363,153939,80.7,75.7,57.9,265848,Møre og Romsdal,2022-06-09
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,195722,183502,133635,81.5,76.4,55.6,240190,Nordland,2022-06-09
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,998749,927429,686695,78.7,73.1,54.1,1269230,Viken,2022-06-09
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306415,288163,218719,82.5,77.6,58.9,371253,Innlandet,2022-06-09
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,341794,319585,238539,80.5,75.2,56.1,424832,Vestfold og Telemark,2022-06-09
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,245303,227979,167110,78.8,73.3,53.7,311134,Agder,2022-06-09
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,506151,469940,348481,78.9,73.3,54.3,641292,Vestland,2022-06-09
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,385365,360871,268407,81.3,76.1,56.6,474131,Trøndelag,2022-06-09
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,192854,180407,126610,79.8,74.6,52.4,241736,Troms og Finnmark,2022-06-09
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,549399,511645,353389,78.5,73.1,50.5,699827,Oslo,2022-06-09
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11889,11180,9197,80,75.2,61.9,14860,Eigersund,2022-06-09
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,113120,105005,75167,78.2,72.6,51.9,144699,Stavanger,2022-06-09
