granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3_all,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3_all,pop,location_name,date_of_publishing
total,municip,municip5412,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3247,3043,281,77.1,72.3,6.7,4209,Tjeldsund,2021-11-22
total,municip,municip5413,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1054,987,125,79.8,74.8,9.5,1320,Ibestad,2021-11-22
total,municip,municip5414,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,866,807,122,79.3,73.9,11.2,1092,Gratangen,2021-11-22
total,municip,municip5415,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,790,730,78,77.5,71.6,7.6,1020,Loabák - Lavangen,2021-11-22
total,municip,municip5416,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3356,2998,215,84.8,75.7,5.4,3959,Bardu,2021-11-22
total,municip,municip5417,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1714,1591,253,82,76.2,12.1,2089,Salangen,2021-11-22
total,municip,municip5418,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5326,4834,399,80.6,73.1,6,6609,Målselv,2021-11-22
total,municip,municip5419,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2710,2479,172,78.2,71.5,5,3465,Sørreisa,2021-11-22
total,municip,municip5420,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,890,828,93,83.7,77.9,8.7,1063,Dyrøy,2021-11-22
total,municip,municip5421,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11334,10362,1101,77,70.4,7.5,14725,Senja,2021-11-22
total,municip,municip5422,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4507,4093,296,81.1,73.6,5.3,5559,Balsfjord,2021-11-22
total,municip,municip5423,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1755,1621,337,80.8,74.6,15.5,2172,Karlsøy,2021-11-22
total,municip,municip5424,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2285,2108,296,82.4,76,10.7,2773,Lyngen,2021-11-22
total,municip,municip5425,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1526,1433,188,83.3,78.3,10.3,1831,Storfjord - Omasvuotna - Omasvuono,2021-11-22
total,municip,municip5426,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1688,1569,218,81.5,75.7,10.5,2072,Gáivuotna - Kåfjord - Kaivuono,2021-11-22
