granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3,n_dose_4,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3,cum_pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,549707,512722,357509,12782,78.5,73.3,51.1,1.8,699827,Oslo,2022-07-28
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372882,346417,252520,10284,76.8,71.3,52,2.1,485797,Rogaland,2022-07-28
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214566,201522,154733,6889,80.7,75.8,58.2,2.6,265848,Møre og Romsdal,2022-07-28
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,195531,183520,134351,5481,81.4,76.4,55.9,2.3,240190,Nordland,2022-07-28
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1001069,930899,693136,30042,78.9,73.3,54.6,2.4,1269230,Viken,2022-07-28
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306413,288329,219755,8291,82.5,77.7,59.2,2.2,371253,Innlandet,2022-07-28
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,342318,320356,240139,12382,80.6,75.4,56.5,2.9,424832,Vestfold og Telemark,2022-07-28
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,245460,228300,168204,7720,78.9,73.4,54.1,2.5,311134,Agder,2022-07-28
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,506167,470477,350880,17183,78.9,73.4,54.7,2.7,641292,Vestland,2022-07-28
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,385118,360889,270475,12666,81.2,76.1,57,2.7,474131,Trøndelag,2022-07-28
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,192440,180261,127506,4277,79.6,74.6,52.7,1.8,241736,Troms og Finnmark,2022-07-28
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,549699,512715,357505,12782,78.5,73.3,51.1,1.8,699827,Oslo,2022-07-28
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11892,11186,9238,824,80,75.3,62.2,5.5,14860,Eigersund,2022-07-28
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,113071,105115,75852,2516,78.1,72.6,52.4,1.7,144699,Stavanger,2022-07-28
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28722,26714,19109,736,76.7,71.3,51,2,37444,Haugesund,2022-07-28
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,60688,56534,42440,1386,74.6,69.5,52.2,1.7,81305,Sandnes,2022-07-28
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2505,2356,1792,71,76.3,71.8,54.6,2.2,3281,Sokndal,2022-07-28
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2428,2294,1795,81,76.4,72.2,56.5,2.5,3178,Lund,2022-07-28
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2197,2061,1531,164,78.8,73.9,54.9,5.9,2789,Bjerkreim,2022-07-28
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14084,12969,9099,263,73,67.2,47.2,1.4,19296,Hå,2022-07-28
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15132,13937,9262,187,75,69.1,45.9,0.9,20163,Klepp,2022-07-28
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14731,13661,9147,614,76.1,70.6,47.3,3.2,19353,Time,2022-07-28
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8862,8211,6319,219,73.1,67.7,52.1,1.8,12131,Gjesdal,2022-07-28
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21236,19698,13901,223,77,71.5,50.4,0.8,27568,Sola,2022-07-28
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9081,8378,6012,296,79.3,73.1,52.5,2.6,11454,Randaberg,2022-07-28
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10318,9533,7142,253,77.8,71.8,53.8,1.9,13268,Strand,2022-07-28
total,municip,municip1133,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2028,1892,1380,90,80,74.7,54.5,3.6,2534,Hjelmeland,2022-07-28
total,municip,municip1134,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3036,2831,2379,59,80.2,74.8,62.9,1.6,3784,Suldal,2022-07-28
total,municip,municip1135,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3670,3415,2670,74,81.1,75.5,59,1.6,4525,Sauda,2022-07-28
