granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3_all,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,539220,481300,66859,77.4,69.1,9.6,697010,Oslo,2021-12-01
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,363101,328027,43845,75.2,68,9.1,482645,Rogaland,2021-12-01
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,209896,192808,31896,79,72.6,12,265544,Møre og Romsdal,2021-12-01
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,191761,174181,28242,79.8,72.5,11.8,240345,Nordland,2021-12-01
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,980080,877991,137606,78.3,70.1,11,1252384,Viken,2021-12-01
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,301067,276575,45971,81.2,74.6,12.4,370603,Innlandet,2021-12-01
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,335985,304919,56314,79.6,72.3,13.3,421882,Vestfold og Telemark,2021-12-01
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,241141,218484,30521,78.1,70.7,9.9,308843,Agder,2021-12-01
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,495877,447500,69592,77.6,70.1,10.9,638821,Vestland,2021-12-01
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,378805,346365,54620,80.4,73.5,11.6,471124,Trøndelag,2021-12-01
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,189412,172927,30262,78.2,71.4,12.5,242168,Troms og Finnmark,2021-12-01
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,539210,481293,66859,77.4,69.1,9.6,697010,Oslo,2021-12-01
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11597,10693,1597,78.4,72.3,10.8,14787,Eigersund,2021-12-01
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,110488,99593,13347,76.6,69.1,9.3,144147,Stavanger,2021-12-01
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,27883,25385,1887,74.7,68,5.1,37323,Haugesund,2021-12-01
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,59022,53173,6668,73.4,66.1,8.3,80450,Sandnes,2021-12-01
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2441,2245,630,74.9,68.9,19.3,3257,Sokndal,2021-12-01
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2360,2209,421,74.4,69.6,13.3,3174,Lund,2021-12-01
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2142,1963,319,76.7,70.3,11.4,2791,Bjerkreim,2021-12-01
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,13647,12264,1895,71.4,64.1,9.9,19120,Hå,2021-12-01
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14637,13199,1758,73.7,66.5,8.9,19848,Klepp,2021-12-01
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14276,12972,2166,74.7,67.9,11.3,19106,Time,2021-12-01
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8649,7811,969,71.7,64.7,8,12064,Gjesdal,2021-12-01
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,20702,18710,2294,75.4,68.1,8.4,27457,Sola,2021-12-01
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8821,7972,1374,78,70.5,12.1,11315,Randaberg,2021-12-01
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10046,8963,1350,76.9,68.6,10.3,13070,Strand,2021-12-01
total,municip,municip1133,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1970,1782,200,76.4,69.1,7.8,2580,Hjelmeland,2021-12-01
total,municip,municip1134,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2964,2722,319,77.8,71.5,8.4,3809,Suldal,2021-12-01
total,municip,municip1135,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3618,3314,110,79.3,72.7,2.4,4561,Sauda,2021-12-01
total,municip,municip1144,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,424,398,91,83.6,78.5,17.9,507,Kvitsøy,2021-12-01
total,municip,municip1145,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,700,648,139,81.5,75.4,16.2,859,Bokn,2021-12-01
total,municip,municip1146,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8359,7469,754,74.8,66.8,6.7,11178,Tysvær,2021-12-01
total,municip,municip1149,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,31572,28436,4801,74.6,67.2,11.3,42345,Karmøy,2021-12-01
