granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,pr100_dose_1,pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,27411,9299,3.9525936778112,1.34089119732831,693494,Oslo,2021-02-12
total,county,county11,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,16214,4401,3.37867686896218,0.917081343302243,479892,Rogaland,2021-02-12
total,county,county15,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,10420,3410,3.92854719157888,1.28563780453781,265238,Møre og Romsdal,2021-02-12
total,county,county18,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,12070,3507,5.00341990175555,1.45376914626816,241235,Nordland,2021-02-12
total,county,county30,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,47041,13451,3.7900682020521,1.08373987342537,1241165,Viken,2021-02-12
total,county,county34,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,20236,6251,5.44879303149023,1.68315898595797,371385,Innlandet,2021-02-12
total,county,county38,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,20534,6086,4.89608866083606,1.45113448864558,419396,Vestfold og Telemark,2021-02-12
total,county,county42,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,12584,3457,4.09594083930333,1.1252119740521,307231,Agder,2021-02-12
total,county,county46,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,25611,7547,4.02352752654623,1.18564531813847,636531,Vestland,2021-02-12
total,county,county50,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,19701,5489,4.20331041898691,1.17110658798128,468702,Trøndelag,2021-02-12
total,county,county54,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,9816,3219,4.03434287804497,1.32299813818529,243311,Troms og Finnmark,2021-02-12
total,municip,municip0301,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,27224,9244,3.92562877256328,1.33296034284363,693494,Oslo,2021-02-12
total,municip,municip1101,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,559,149,3.7742218621295,1.00600904732969,14811,Eigersund,2021-02-12
total,municip,municip1103,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,4743,1433,3.30352292197752,0.998091576469277,143574,Stavanger,2021-02-12
total,municip,municip1106,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1394,418,3.73156302700966,1.11893353320663,37357,Haugesund,2021-02-12
total,municip,municip1108,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,2412,659,3.03255088826584,0.828545205376114,79537,Sandnes,2021-02-12
total,municip,municip1111,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,128,26,3.90243902439024,0.792682926829268,3280,Sokndal,2021-02-12
total,municip,municip1112,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,125,34,3.90381011867583,1.06183635227983,3202,Lund,2021-02-12
total,municip,municip1114,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,111,33,3.98277717976319,1.18406889128095,2787,Bjerkreim,2021-02-12
total,municip,municip1119,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,580,132,3.05407824759096,0.695066083934495,18991,Hå,2021-02-12
total,municip,municip1120,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,552,140,2.81805186849091,0.714723299979579,19588,Klepp,2021-02-12
total,municip,municip1121,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,612,133,3.23535631211673,0.703108479593995,18916,Time,2021-02-12
total,municip,municip1122,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,335,90,2.79120146642226,0.749875020829862,12002,Gjesdal,2021-02-12
total,municip,municip1124,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,813,218,2.99414429344824,0.802857879424005,27153,Sola,2021-02-12
total,municip,municip1127,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,360,105,3.20827020764638,0.935745477230194,11221,Randaberg,2021-02-12
total,municip,municip1130,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,455,116,3.50863664404689,0.894509561998766,12968,Strand,2021-02-12
total,municip,municip1133,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,131,28,5.08935508935509,1.08780108780109,2574,Hjelmeland,2021-02-12
total,municip,municip1134,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,170,18,4.46898002103049,0.473186119873817,3804,Suldal,2021-02-12
total,municip,municip1135,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,189,38,4.11316648531012,0.826985854189336,4595,Sauda,2021-02-12
total,municip,municip1144,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,44,16,8.51063829787234,3.09477756286267,517,Kvitsøy,2021-02-12
total,municip,municip1145,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,43,11,5.04694835680751,1.29107981220657,852,Bokn,2021-02-12
total,municip,municip1146,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,391,106,3.53366470854044,0.957975598734749,11065,Tysvær,2021-02-12
total,municip,municip1149,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1614,382,3.82591381026881,0.905513677523349,42186,Karmøy,2021-02-12
total,municip,municip1151,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,39,19,19.6969696969697,9.5959595959596,198,Utsira,2021-02-12
total,municip,municip1160,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,339,77,3.89029148496672,0.883635529033739,8714,Vindafjord,2021-02-12
total,municip,municip1505,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1206,376,4.98779932999711,1.55506844782663,24179,Kristiansund,2021-02-12
total,municip,municip1506,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1395,435,4.3638752463478,1.36077830262458,31967,Molde,2021-02-12
total,municip,municip1507,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,2172,858,3.27809472063751,1.2949379697546,66258,Ålesund,2021-02-12
total,municip,municip1511,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,121,33,3.88193776066731,1.05871029836381,3117,Vanylven,2021-02-12
total,municip,municip1514,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,103,22,4.18529053230394,0.893945550589191,2461,Sande,2021-02-12
total,municip,municip1515,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,369,87,4.14606741573034,0.97752808988764,8900,Herøy,2021-02-12
total,municip,municip1516,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,291,85,3.39516975848792,0.991716252479291,8571,Ulstein,2021-02-12
total,municip,municip1517,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,188,60,3.63285024154589,1.15942028985507,5175,Hareid,2021-02-12
