location_code,date,n,granularity_time,granularity_geo,border,age,sex,yrwk,season,year,week,x,pop,pr100000,location_name,date_of_publishing
county03,1900-01-01,59172,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,697010,8489.40474311703,Oslo,2021-11-09
county11,1900-01-01,12243,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,482645,2536.64701799459,Rogaland,2021-11-09
county15,1900-01-01,5020,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,265544,1890.45883168138,Møre og Romsdal,2021-11-09
county18,1900-01-01,4091,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,240345,1702.13651209719,Nordland,2021-11-09
county30,1900-01-01,68196,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,1252384,5445.29473388354,Viken,2021-11-09
county34,1900-01-01,9199,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,370603,2482.17094842729,Innlandet,2021-11-09
county38,1900-01-01,12416,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,421882,2943.00301980175,Vestfold og Telemark,2021-11-09
county42,1900-01-01,8323,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,308843,2694.89675984238,Agder,2021-11-09
county46,1900-01-01,17154,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,638821,2685.2592510265,Vestland,2021-11-09
county50,1900-01-01,12045,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,471124,2556.65175198037,Trøndelag,2021-11-09
county54,1900-01-01,6408,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,242168,2646.09692444914,Troms og Finnmark,2021-11-09
municip0301,1900-01-01,59163,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,697010,8488.11351343596,Oslo,2021-11-09
municip1101,1900-01-01,188,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,14787,1271.38702914722,Eigersund,2021-11-09
municip1103,1900-01-01,4374,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,144147,3034.40238090283,Stavanger,2021-11-09
municip1106,1900-01-01,1532,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,37323,4104.70755298342,Haugesund,2021-11-09
municip1108,1900-01-01,1819,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,80450,2261.03169670603,Sandnes,2021-11-09
municip1111,1900-01-01,18,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3257,552.655818237642,Sokndal,2021-11-09
