granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,cum_n_dose_1,cum_n_dose_2,cum_pr100_dose_1,cum_pr100_dose_2,pop,location_name,date_of_publishing
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-27,5,0,5,0,0.00072098677133472,0,693494,Oslo,2021-03-30
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-28,264,0,269,0,0.0387890882978079,0,693494,Oslo,2021-03-30
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-29,118,0,387,0,0.0558043761013073,0,693494,Oslo,2021-03-30
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-30,58,0,445,0,0.06416782264879,0,693494,Oslo,2021-03-30
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-31,5,0,450,0,0.0648888094201248,0,693494,Oslo,2021-03-30
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2021-01-01,6,0,456,0,0.0657539935457264,0,693494,Oslo,2021-03-30
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2021-01-02,0,0,456,0,0.0657539935457264,0,693494,Oslo,2021-03-30
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2021-01-03,0,0,456,0,0.0657539935457264,0,693494,Oslo,2021-03-30
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-04,0,0,456,0,0.065422303840691,0,697010,Oslo,2021-03-30
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-05,479,0,935,0,0.134144416866329,0,697010,Oslo,2021-03-30
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-06,603,0,1538,0,0.220656805497769,0,697010,Oslo,2021-03-30
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-07,966,0,2504,0,0.359248791265549,0,697010,Oslo,2021-03-30
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-08,450,0,2954,0,0.423810275318862,0,697010,Oslo,2021-03-30
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-09,127,0,3081,0,0.442030960818353,0,697010,Oslo,2021-03-30
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-10,100,0,3181,0,0.456377957274645,0,697010,Oslo,2021-03-30
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-11,78,0,3259,0,0.467568614510552,0,697010,Oslo,2021-03-30
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-12,241,0,3500,0,0.502144875970216,0,697010,Oslo,2021-03-30
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-13,489,0,3989,0,0.572301688641483,0,697010,Oslo,2021-03-30
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-14,1239,0,5228,0,0.750060974734939,0,697010,Oslo,2021-03-30
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-15,1636,0,6864,0,0.984777836759874,0,697010,Oslo,2021-03-30
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-16,643,0,7507,0,1.07702902397383,0,697010,Oslo,2021-03-30
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-17,276,5,7783,5,1.1166267341932,0.000717349822814594,697010,Oslo,2021-03-30
day,county,county03,2020,total,total,2021,3,2021-03,2020/2021,26,2021-01-18,759,231,8542,236,1.22552043729645,0.0338589116368488,697010,Oslo,2021-03-30
day,county,county03,2020,total,total,2021,3,2021-03,2020/2021,26,2021-01-19,811,70,9353,306,1.34187457855698,0.0439018091562531,697010,Oslo,2021-03-30
day,county,county03,2020,total,total,2021,3,2021-03,2020/2021,26,2021-01-20,991,99,10344,405,1.48405331343883,0.0581053356479821,697010,Oslo,2021-03-30
day,county,county03,2020,total,total,2021,3,2021-03,2020/2021,26,2021-01-21,1022,21,11366,426,1.63067961722213,0.0611182049038034,697010,Oslo,2021-03-30
day,county,county03,2020,total,total,2021,3,2021-03,2020/2021,26,2021-01-22,669,6,12035,432,1.72666102351473,0.0619790246911809,697010,Oslo,2021-03-30
day,county,county03,2020,total,total,2021,3,2021-03,2020/2021,26,2021-01-23,232,0,12267,432,1.75994605529332,0.0619790246911809,697010,Oslo,2021-03-30
day,county,county03,2020,total,total,2021,3,2021-03,2020/2021,26,2021-01-24,67,0,12334,432,1.76955854291904,0.0619790246911809,697010,Oslo,2021-03-30
day,county,county03,2020,total,total,2021,4,2021-04,2020/2021,27,2021-01-25,258,0,12592,432,1.80657379377627,0.0619790246911809,697010,Oslo,2021-03-30
day,county,county03,2020,total,total,2021,4,2021-04,2020/2021,27,2021-01-26,312,404,12904,836,1.8513364227199,0.1199408903746,697010,Oslo,2021-03-30
day,county,county03,2020,total,total,2021,4,2021-04,2020/2021,27,2021-01-27,1035,528,13939,1364,1.99982783604252,0.195693031663821,697010,Oslo,2021-03-30
day,county,county03,2020,total,total,2021,4,2021-04,2020/2021,27,2021-01-28,870,842,14809,2206,2.12464670521226,0.316494741825799,697010,Oslo,2021-03-30
day,county,county03,2020,total,total,2021,4,2021-04,2020/2021,27,2021-01-29,427,504,15236,2710,2.18590838008063,0.38880360396551,697010,Oslo,2021-03-30
