granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,pr100_dose_1,pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,37780,21836,5.44777604420514,3.14869342777299,693494,Oslo,2021-03-01
total,county,county11,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,23414,11792,4.87901444491677,2.45721954106341,479892,Rogaland,2021-03-01
total,county,county15,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,16595,7540,6.25664497545601,2.84272992557627,265238,Møre og Romsdal,2021-03-01
total,county,county18,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,18277,8498,7.57642962256721,3.52270607498912,241235,Nordland,2021-03-01
total,county,county30,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,74609,35085,6.01120721257851,2.82677967876954,1241165,Viken,2021-03-01
total,county,county34,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,28660,14611,7.71705911655021,3.93419228024826,371385,Innlandet,2021-03-01
total,county,county38,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,29566,14628,7.04966189472479,3.48787303646196,419396,Vestfold og Telemark,2021-03-01
total,county,county42,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,18902,8715,6.1523739466395,2.83662781425052,307231,Agder,2021-03-01
total,county,county46,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,38118,18372,5.98839648029711,2.88626948255466,636531,Vestland,2021-03-01
total,county,county50,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,28771,13810,6.1384419097849,2.94643504828228,468702,Trøndelag,2021-03-01
total,county,county54,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,14059,6877,5.77820156096518,2.82642379506064,243311,Troms og Finnmark,2021-03-01
total,municip,municip0301,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,37484,21723,5.40509362734213,3.13239912674082,693494,Oslo,2021-03-01
total,municip,municip1101,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,788,399,5.32036999527378,2.6939436905003,14811,Eigersund,2021-03-01
total,municip,municip1103,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,6826,3541,4.7543427082898,2.46632398623706,143574,Stavanger,2021-03-01
total,municip,municip1106,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,2237,1079,5.98816821479241,2.88834756538266,37357,Haugesund,2021-03-01
total,municip,municip1108,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,3226,1726,4.05597394923118,2.17005921772257,79537,Sandnes,2021-03-01
total,municip,municip1111,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,178,91,5.42682926829268,2.77439024390244,3280,Sokndal,2021-03-01
total,municip,municip1112,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,162,65,5.05933791380387,2.02998126171143,3202,Lund,2021-03-01
total,municip,municip1114,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,132,86,4.73627556512379,3.08575529242914,2787,Bjerkreim,2021-03-01
total,municip,municip1119,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,915,403,4.8180717181823,2.12205781686062,18991,Hå,2021-03-01
total,municip,municip1120,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,729,387,3.72166632632224,1.97569940780069,19588,Klepp,2021-03-01
total,municip,municip1121,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,853,466,4.50941002326073,2.46352294353986,18916,Time,2021-03-01
