location_code,date,n,granularity_time,granularity_geo,border,age,sex,yrwk,season,year,week,x,pop,pr100000,location_name,date_of_publishing
county03,1900-01-01,240367,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,697010,34485.4449720951,Oslo,2022-03-07
county11,1900-01-01,110600,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,482645,22915.3933014949,Rogaland,2022-03-07
county15,1900-01-01,45407,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,265544,17099.6143765252,Møre og Romsdal,2022-03-07
county18,1900-01-01,34496,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,240345,14352.7013251784,Nordland,2022-03-07
county30,1900-01-01,356690,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,1252384,28480.8812632547,Viken,2022-03-07
county34,1900-01-01,71688,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,370603,19343.6102783841,Innlandet,2022-03-07
county38,1900-01-01,90560,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,421882,21465.7179021622,Vestfold og Telemark,2022-03-07
county42,1900-01-01,72177,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,308843,23370.126569163,Agder,2022-03-07
county46,1900-01-01,130703,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,638821,20460.0349706725,Vestland,2022-03-07
county50,1900-01-01,93539,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,471124,19854.4332277702,Trøndelag,2022-03-07
county54,1900-01-01,42865,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,242168,17700.521951703,Troms og Finnmark,2022-03-07
municip0301,1900-01-01,240352,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,697010,34483.2929226267,Oslo,2022-03-07
municip1101,1900-01-01,2367,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,14787,16007.3037127206,Eigersund,2022-03-07
municip1103,1900-01-01,35865,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,144147,24880.8507981436,Stavanger,2022-03-07
municip1106,1900-01-01,8700,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,37323,23310.0233100233,Haugesund,2022-03-07
municip1108,1900-01-01,18760,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,80450,23318.8315724052,Sandnes,2022-03-07
municip1111,1900-01-01,698,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3257,21430.7645072152,Sokndal,2022-03-07
municip1112,1900-01-01,572,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3174,18021.4240705734,Lund,2022-03-07
municip1114,1900-01-01,549,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2791,19670.3690433536,Bjerkreim,2022-03-07
municip1119,1900-01-01,4237,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,19120,22160.0418410042,Hå,2022-03-07
municip1120,1900-01-01,5468,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,19848,27549.3752519146,Klepp,2022-03-07
municip1121,1900-01-01,4754,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,19106,24882.235946823,Time,2022-03-07
municip1122,1900-01-01,3124,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,12064,25895.225464191,Gjesdal,2022-03-07
municip1124,1900-01-01,6364,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,27457,23178.0602396475,Sola,2022-03-07
municip1127,1900-01-01,2927,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,11315,25868.316394167,Randaberg,2022-03-07
municip1130,1900-01-01,2531,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,13070,19364.9579188982,Strand,2022-03-07
municip1133,1900-01-01,359,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2580,13914.7286821705,Hjelmeland,2022-03-07
municip1134,1900-01-01,418,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3809,10974.0089262274,Suldal,2022-03-07
municip1135,1900-01-01,547,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,4561,11992.983994738,Sauda,2022-03-07
municip1144,1900-01-01,54,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,507,10650.8875739645,Kvitsøy,2022-03-07
municip1145,1900-01-01,117,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,859,13620.4889406286,Bokn,2022-03-07
municip1146,1900-01-01,2523,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,11178,22571.1218464842,Tysvær,2022-03-07
municip1149,1900-01-01,8335,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,42345,19683.5517770693,Karmøy,2022-03-07
municip1151,1900-01-01,23,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,192,11979.1666666667,Utsira,2022-03-07
municip1160,1900-01-01,1284,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,8705,14750.1435956347,Vindafjord,2022-03-07
municip1505,1900-01-01,5050,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,24099,20955.2263579402,Kristiansund,2022-03-07
municip1506,1900-01-01,5503,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,31870,17267.0222780044,Molde,2022-03-07
municip1507,1900-01-01,12984,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,66670,19475.0262486876,Ålesund,2022-03-07
municip1511,1900-01-01,263,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3083,8530.65196237431,Vanylven,2022-03-07
municip1514,1900-01-01,309,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2445,12638.036809816,Sande,2022-03-07
municip1515,1900-01-01,1141,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,8858,12881.0115150147,Herøy,2022-03-07
municip1516,1900-01-01,1179,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,8575,13749.2711370262,Ulstein,2022-03-07
municip1517,1900-01-01,775,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,5140,15077.8210116732,Hareid,2022-03-07
municip1520,1900-01-01,2991,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,10830,27617.728531856,Ørsta,2022-03-07
municip1525,1900-01-01,483,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,4482,10776.4390896921,Stranda,2022-03-07
municip1528,1900-01-01,1107,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,7596,14573.4597156398,Sykkylven,2022-03-07
municip1531,1900-01-01,1911,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,9409,20310.3411627166,Sula,2022-03-07
municip1532,1900-01-01,1780,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,8506,20926.4048906654,Giske,2022-03-07
municip1535,1900-01-01,1568,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,6958,22535.2112676056,Vestnes,2022-03-07
municip1539,1900-01-01,594,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,7026,8454.31255337319,Rauma,2022-03-07
municip1547,1900-01-01,860,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3522,24417.9443498013,Aukra,2022-03-07
municip1554,1900-01-01,875,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,5808,15065.4269972452,Averøy,2022-03-07
municip1557,1900-01-01,236,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2658,8878.85628291949,Gjemnes,2022-03-07
municip1560,1900-01-01,327,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2985,10954.7738693467,Tingvoll,2022-03-07
municip1563,1900-01-01,443,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,6956,6368.60264519839,Sunndal,2022-03-07
municip1566,1900-01-01,231,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,5872,3933.92370572207,Surnadal,2022-03-07
municip1573,1900-01-01,208,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2128,9774.43609022556,Smøla,2022-03-07
municip1576,1900-01-01,289,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3468,8333.33333333333,Aure,2022-03-07
municip1577,1900-01-01,1852,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,10781,17178.3693534923,Volda,2022-03-07
municip1578,1900-01-01,229,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2502,9152.67785771383,Fjord,2022-03-07
municip1579,1900-01-01,2138,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,13317,16054.6669670346,Hustadvika,2022-03-07
municip1804,1900-01-01,9103,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,52560,17319.2541856925,Bodø,2022-03-07
municip1806,1900-01-01,4096,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,21661,18909.5609620978,Narvik,2022-03-07
municip1811,1900-01-01,100,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1397,7158.19613457409,Bindal,2022-03-07
municip1812,1900-01-01,170,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1990,8542.7135678392,Sømna,2022-03-07
municip1813,1900-01-01,1077,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,7803,13802.3836985775,Brønnøy,2022-03-07
municip1815,1900-01-01,68,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1182,5752.96108291032,Vega,2022-03-07
municip1816,1900-01-01,31,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,465,6666.66666666667,Vevelstad,2022-03-07
municip1818,1900-01-01,313,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1793,17456.7763524819,Herøy,2022-03-07
