granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,cum_pr100_dose_1,cum_pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,497667,380891,71.4,54.6,697010,Oslo,2021-08-30
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,326608,242611,67.7,50.3,482645,Rogaland,2021-08-30
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,189220,144134,71.3,54.3,265544,Møre og Romsdal,2021-08-30
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,172068,131343,71.6,54.6,240345,Nordland,2021-08-30
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,890941,714678,71.1,57.1,1252384,Viken,2021-08-30
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,275536,214071,74.3,57.8,370603,Innlandet,2021-08-30
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,305185,254815,72.3,60.4,421882,Vestfold og Telemark,2021-08-30
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,217814,177840,70.5,57.6,308843,Agder,2021-08-30
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,450742,360165,70.6,56.4,638821,Vestland,2021-08-30
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,343078,250837,72.8,53.2,471124,Trøndelag,2021-08-30
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,170119,127743,70.2,52.7,242168,Troms og Finnmark,2021-08-30
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,497660,380885,71.4,54.6,697010,Oslo,2021-08-30
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10532,7924,71.2,53.6,14787,Eigersund,2021-08-30
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,99143,70124,68.8,48.6,144147,Stavanger,2021-08-30
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,24637,17946,66,48.1,37323,Haugesund,2021-08-30
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,53370,40308,66.3,50.1,80450,Sandnes,2021-08-30
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2226,2045,68.3,62.8,3257,Sokndal,2021-08-30
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2185,1803,68.8,56.8,3174,Lund,2021-08-30
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1946,1475,69.7,52.8,2791,Bjerkreim,2021-08-30
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,12281,9935,64.2,52,19120,Hå,2021-08-30
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,13128,9196,66.1,46.3,19848,Klepp,2021-08-30
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,12932,8694,67.7,45.5,19106,Time,2021-08-30
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7666,5568,63.5,46.2,12064,Gjesdal,2021-08-30
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,18528,13621,67.5,49.6,27457,Sola,2021-08-30
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7725,5135,68.3,45.4,11315,Randaberg,2021-08-30
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8959,6843,68.5,52.4,13070,Strand,2021-08-30
total,municip,municip1133,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1833,1458,71,56.5,2580,Hjelmeland,2021-08-30
total,municip,municip1134,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2773,2402,72.8,63.1,3809,Suldal,2021-08-30
total,municip,municip1135,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3360,2196,73.7,48.1,4561,Sauda,2021-08-30
total,municip,municip1144,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,393,332,77.5,65.5,507,Kvitsøy,2021-08-30
total,municip,municip1145,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,631,534,73.5,62.2,859,Bokn,2021-08-30
total,municip,municip1146,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7619,6310,68.2,56.5,11178,Tysvær,2021-08-30
total,municip,municip1149,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28622,24200,67.6,57.1,42345,Karmøy,2021-08-30
total,municip,municip1151,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,157,148,81.8,77.1,192,Utsira,2021-08-30
total,municip,municip1160,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5954,4407,68.4,50.6,8705,Vindafjord,2021-08-30
total,municip,municip1505,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,18086,15276,75,63.4,24099,Kristiansund,2021-08-30
total,municip,municip1506,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,23518,17287,73.8,54.2,31870,Molde,2021-08-30
total,municip,municip1507,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,45805,32611,68.7,48.9,66670,Ålesund,2021-08-30
total,municip,municip1511,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2358,2076,76.5,67.3,3083,Vanylven,2021-08-30
total,municip,municip1514,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1713,1403,70.1,57.4,2445,Sande,2021-08-30
total,municip,municip1515,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5961,4258,67.3,48.1,8858,Herøy,2021-08-30
total,municip,municip1516,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5872,4307,68.5,50.2,8575,Ulstein,2021-08-30
total,municip,municip1517,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3368,2622,65.5,51,5140,Hareid,2021-08-30
total,municip,municip1520,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7727,6091,71.3,56.2,10830,Ørsta,2021-08-30
