granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,pr100_dose_1,pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,16-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,3109,1542,1.89055573460465,0.937676726523117,164449,Oslo,2021-02-16
total,county,county03,2020,16-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,1431,774,0.864166963579378,0.467411062061802,165593,Oslo,2021-02-16
total,county,county03,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,991,480,2.35196392547763,1.13919544321823,42135,Oslo,2021-02-16
total,county,county03,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,567,329,1.23899219893801,0.718921399383782,45763,Oslo,2021-02-16
total,county,county03,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,961,485,2.87268705347801,1.44979523510597,33453,Oslo,2021-02-16
total,county,county03,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,436,262,1.27892992285354,0.768531283916576,34091,Oslo,2021-02-16
total,county,county03,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,1109,361,4.25556408288565,1.38526477359939,26060,Oslo,2021-02-16
total,county,county03,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,838,324,3.48469727212242,1.34730538922156,24048,Oslo,2021-02-16
total,county,county03,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,6270,932,43.2831699572001,6.43379814993787,14486,Oslo,2021-02-16
total,county,county03,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,4771,556,41.9871512804717,4.89307401214468,11363,Oslo,2021-02-16
total,county,county03,2020,>=85,female,1900,1,1900-01,1899/1900,24,1900-01-01,6132,3075,78.6355475763016,39.4331879969223,7798,Oslo,2021-02-16
total,county,county03,2020,>=85,male,1900,1,1900-01,1899/1900,24,1900-01-01,2910,1328,80.2758620689655,36.6344827586207,3625,Oslo,2021-02-16
total,county,county11,2020,16-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,1624,752,1.77890724269377,0.823730447355738,91292,Rogaland,2021-02-16
total,county,county11,2020,16-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,513,309,0.527973323453131,0.318019019389897,97164,Rogaland,2021-02-16
total,county,county11,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,814,354,2.57603088705339,1.12028861672838,31599,Rogaland,2021-02-16
total,county,county11,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,247,168,0.731028767609802,0.497217947200189,33788,Rogaland,2021-02-16
total,county,county11,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,720,312,2.73099681383705,1.18343195266272,26364,Rogaland,2021-02-16
total,county,county11,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,209,116,0.756917282341011,0.420107199768217,27612,Rogaland,2021-02-16
total,county,county11,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,323,163,1.56879887318471,0.791684880275875,20589,Rogaland,2021-02-16
total,county,county11,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,295,191,1.42134425439653,0.920260178270296,20755,Rogaland,2021-02-16
total,county,county11,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,2672,473,22.5409144592543,3.9902142736629,11854,Rogaland,2021-02-16
