granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,pr100_dose_1,pr100_dose_2,pop,location_name
total,county,county03,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,14229,2078,2.05178415386434,0.299642102166709,693494,Oslo
total,county,county11,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,6701,1195,1.39635584673218,0.249014361564685,479892,Rogaland
total,county,county15,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,4939,782,1.86210120721767,0.294829549310431,265238,Møre og Romsdal
total,county,county18,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,5373,763,2.22728874334155,0.316289095695069,241235,Nordland
total,county,county30,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,21005,3704,1.69236161187272,0.298429298280245,1241165,Viken
total,county,county34,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,8943,1831,2.4080132477079,0.493019373426498,371385,Innlandet
total,county,county38,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,9246,1388,2.20459899474482,0.330952131160049,419396,Vestfold og Telemark
total,county,county42,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,5224,911,1.70034924861098,0.296519556945751,307231,Agder
total,county,county46,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,11951,1707,1.87752049782336,0.26817232782064,636531,Vestland
total,county,county50,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,8106,1143,1.72945709640667,0.24386497177311,468702,Trøndelag
total,county,county54,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,4533,530,1.86304770437835,0.217828211630383,243311,Troms og Finnmark
total,municip,municip0301,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,14133,2063,2.03794120785472,0.297479141852705,693494,Oslo
total,municip,municip1101,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,187,37,1.26257511309162,0.249814327189251,14811,Eigersund
total,municip,municip1103,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,2161,375,1.50514717149345,0.261189351832504,143574,Stavanger
total,municip,municip1106,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,659,74,1.76406028321332,0.198088711620312,37357,Haugesund
total,municip,municip1108,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,849,193,1.06742773803387,0.242654362120774,79537,Sandnes
