granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_icu,n_hospital_main_cause,date_of_publishing
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-14,2,11,2022-07-27
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-15,4,12,2022-07-27
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-16,3,4,2022-07-27
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-17,1,15,2022-07-27
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-18,2,9,2022-07-27
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-19,3,5,2022-07-27
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-20,1,5,2022-07-27
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-21,1,4,2022-07-27
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-22,3,8,2022-07-27
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-23,4,5,2022-07-27
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-24,2,8,2022-07-27
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-25,1,4,2022-07-27
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-26,1,6,2022-07-27
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-27,1,2,2022-07-27
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-28,1,7,2022-07-27
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-29,0,0,2022-07-27
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-30,0,2,2022-07-27
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-05-01,1,2,2022-07-27
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-05-02,0,2,2022-07-27
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-05-03,0,1,2022-07-27
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-04,0,2,2022-07-27
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-05,1,3,2022-07-27
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-06,1,4,2022-07-27
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-07,0,2,2022-07-27
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-08,1,4,2022-07-27
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-09,0,1,2022-07-27
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-10,1,1,2022-07-27
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-11,1,2,2022-07-27
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-12,0,3,2022-07-27
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-13,0,3,2022-07-27
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-14,0,2,2022-07-27
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-15,1,1,2022-07-27
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-16,1,0,2022-07-27
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-17,0,0,2022-07-27
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-18,0,5,2022-07-27
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-19,0,1,2022-07-27
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-20,0,1,2022-07-27
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-21,0,2,2022-07-27
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-22,1,1,2022-07-27
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-23,0,0,2022-07-27
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-24,0,0,2022-07-27
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-25,0,0,2022-07-27
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-26,0,1,2022-07-27
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-27,0,4,2022-07-27
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-28,0,2,2022-07-27
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-29,1,1,2022-07-27
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-30,0,0,2022-07-27
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-31,0,2,2022-07-27
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-01,0,1,2022-07-27
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-02,0,0,2022-07-27
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-03,0,0,2022-07-27
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-04,0,0,2022-07-27
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-05,0,1,2022-07-27
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-06,0,0,2022-07-27
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-07,0,0,2022-07-27
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-08,0,1,2022-07-27
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-09,0,2,2022-07-27
