granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3,n_dose_4,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3,cum_pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550707,514026,361046,66114,78.7,73.5,51.6,9.4,699827,Oslo,2022-11-10
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372119,345785,254372,58096,76.6,71.2,52.4,12,485797,Rogaland,2022-11-10
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214349,201321,155721,40793,80.6,75.7,58.6,15.3,265848,Møre og Romsdal,2022-11-10
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,194780,182872,135322,33751,81.1,76.1,56.3,14.1,240190,Nordland,2022-11-10
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1002021,932100,699687,180870,78.9,73.4,55.1,14.3,1269230,Viken,2022-11-10
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306277,288236,221466,62063,82.5,77.6,59.7,16.7,371253,Innlandet,2022-11-10
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,342276,320397,242043,67225,80.6,75.4,57,15.8,424832,Vestfold og Telemark,2022-11-10
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,245994,228915,169886,42720,79.1,73.6,54.6,13.7,311134,Agder,2022-11-10
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,505980,470507,353791,84741,78.9,73.4,55.2,13.2,641292,Vestland,2022-11-10
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,384980,360877,272693,63018,81.2,76.1,57.5,13.3,474131,Trøndelag,2022-11-10
