location_code,date,n,granularity_time,granularity_geo,border,age,sex,yrwk,season,year,week,x,pop,pr100000,location_name,date_of_publishing
county03,1900-01-01,251574,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,699827,35948.0271552827,Oslo,2022-03-24
county11,1900-01-01,118327,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,485797,24357.2932727044,Rogaland,2022-03-24
county15,1900-01-01,51063,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,265848,19207.5923083867,Møre og Romsdal,2022-03-24
county18,1900-01-01,37678,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,240190,15686.7479911737,Nordland,2022-03-24
county30,1900-01-01,374822,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,1269230,29531.4482008777,Viken,2022-03-24
county34,1900-01-01,76203,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,371253,20525.8947402445,Innlandet,2022-03-24
county38,1900-01-01,98464,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,424832,23177.1617957216,Vestfold og Telemark,2022-03-24
county42,1900-01-01,77537,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,311134,24920.773685936,Agder,2022-03-24
county46,1900-01-01,139628,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,641292,21772.920915901,Vestland,2022-03-24
county50,1900-01-01,97987,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,474131,20666.6511997739,Trøndelag,2022-03-24
county54,1900-01-01,46405,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,241736,19196.561538207,Troms og Finnmark,2022-03-24
municip0301,1900-01-01,251558,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,699827,35945.7408759593,Oslo,2022-03-24
municip1101,1900-01-01,2550,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,14860,17160.1615074024,Eigersund,2022-03-24
municip1103,1900-01-01,38131,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,144699,26351.9443810946,Stavanger,2022-03-24
municip1106,1900-01-01,9360,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,37444,24997.3293451554,Haugesund,2022-03-24
municip1108,1900-01-01,19983,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,81305,24577.8242420515,Sandnes,2022-03-24
municip1111,1900-01-01,744,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3281,22676.0134105456,Sokndal,2022-03-24
municip1112,1900-01-01,599,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3178,18848.3322844556,Lund,2022-03-24
municip1114,1900-01-01,588,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2789,21082.8253854428,Bjerkreim,2022-03-24
municip1119,1900-01-01,4480,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,19296,23217.2470978441,Hå,2022-03-24
municip1120,1900-01-01,5844,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,20163,28983.7821752715,Klepp,2022-03-24
municip1121,1900-01-01,5092,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,19353,26311.1662274583,Time,2022-03-24
municip1122,1900-01-01,3269,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,12131,26947.4899019042,Gjesdal,2022-03-24
municip1124,1900-01-01,6957,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,27568,25235.780615206,Sola,2022-03-24
municip1127,1900-01-01,3095,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,11454,27021.1279902218,Randaberg,2022-03-24
municip1130,1900-01-01,2755,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,13268,20764.2447995176,Strand,2022-03-24
municip1133,1900-01-01,405,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2534,15982.636148382,Hjelmeland,2022-03-24
municip1134,1900-01-01,470,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3784,12420.7188160677,Suldal,2022-03-24
municip1135,1900-01-01,595,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,4525,13149.1712707182,Sauda,2022-03-24
municip1144,1900-01-01,54,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,523,10325.0478011472,Kvitsøy,2022-03-24
municip1145,1900-01-01,147,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,855,17192.9824561404,Bokn,2022-03-24
municip1146,1900-01-01,2795,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,11283,24771.780554817,Tysvær,2022-03-24
municip1149,1900-01-01,8932,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,42541,20996.2154157166,Karmøy,2022-03-24
