granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3_all,pr100_dose_1,pr100_dose_2,pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,8719,543,,63.2361473745286,3.93820713664056,,13788,Oslo,2022-04-19
total,county,county03,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,5546,4243,,84.8401407373413,64.907449900566,,6537,Oslo,2022-04-19
total,county,county03,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,29271,27273,12438,93.5444696558116,87.159247067847,39.7494487232751,31291,Oslo,2022-04-19
total,county,county03,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,93723,89322,52626,90.3075677863213,86.0669480256692,50.7082152974504,103782,Oslo,2022-04-19
total,county,county03,2020,40-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,21998,21140,13551,91.3045282862242,87.7433279375752,56.2445523596065,24093,Oslo,2022-04-19
total,county,county03,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,40077,39096,30279,93.6006726300301,91.3095265899059,70.717238480043,42817,Oslo,2022-04-19
total,county,county03,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,32578,32090,28245,94.9436073791274,93.5214058811529,82.3157403899397,34313,Oslo,2022-04-19
total,county,county03,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,24820,24571,22609,95,95,87.6283864966474,25801,Oslo,2022-04-19
total,county,county03,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,15990,15853,14646,95,95,89.7646481980878,16316,Oslo,2022-04-19
total,county,county03,2020,85+,female,1900,1,1900-01,1899/1900,24,1900-01-01,7931,7802,6609,95,95,87.3513084853291,7566,Oslo,2022-04-19
total,county,county03,2020,12-15,male,1900,1,1900-01,1899/1900,24,1900-01-01,8971,495,,62.6335264958458,3.45597989248063,,14323,Oslo,2022-04-19
total,county,county03,2020,16-17,male,1900,1,1900-01,1899/1900,24,1900-01-01,5308,3876,,80.0120590895388,58.4262888151945,,6634,Oslo,2022-04-19
total,county,county03,2020,18-24,male,1900,1,1900-01,1899/1900,24,1900-01-01,25234,22811,8554,88.7053116321581,80.187717509755,30.0699546525117,28447,Oslo,2022-04-19
total,county,county03,2020,25-39,male,1900,1,1900-01,1899/1900,24,1900-01-01,90868,86244,48118,87.0016468155184,82.5743939335912,46.0706215771131,104444,Oslo,2022-04-19
total,county,county03,2020,40-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,22731,21890,14277,86.4263716208509,83.2287745713091,54.2831071061937,26301,Oslo,2022-04-19
total,county,county03,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,41625,40567,31379,89.8058252427185,87.5231930960086,67.7001078748652,46350,Oslo,2022-04-19
total,county,county03,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,32929,32395,28065,93.132901547077,91.6225924145148,79.376078287185,35357,Oslo,2022-04-19
total,county,county03,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,22936,22722,20696,95,95,86.5615458613911,23909,Oslo,2022-04-19
total,county,county03,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,13208,13104,12110,95,95,91.0868747649492,13295,Oslo,2022-04-19
total,county,county03,2020,85+,male,1900,1,1900-01,1899/1900,24,1900-01-01,3877,3821,3211,95,95,88.5060639470783,3628,Oslo,2022-04-19
total,county,county11,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,9313,576,,72.6046620410073,4.49052779293677,,12827,Rogaland,2022-04-19
total,county,county11,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,5334,5011,,89.8736310025274,84.4313395113732,,5935,Rogaland,2022-04-19
total,county,county11,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,18563,17764,9528,92.2614314115308,88.2902584493042,47.3558648111332,20120,Rogaland,2022-04-19
total,county,county11,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,42774,41162,23316,87.6516393442623,84.3483606557377,47.7786885245902,48800,Rogaland,2022-04-19
total,county,county11,2020,40-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,14739,14358,10174,90.6792174234035,88.3351790328535,62.5938230589393,16254,Rogaland,2022-04-19
total,county,county11,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,29583,29162,24283,93.1718686025637,91.8459261125634,76.4794809612296,31751,Rogaland,2022-04-19
total,county,county11,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,25937,25737,23938,95,94.534435261708,87.9265381083563,27225,Rogaland,2022-04-19
total,county,county11,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,20806,20668,19758,95,95,92.2667413841412,21414,Rogaland,2022-04-19
total,county,county11,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,12983,12877,11900,95,95,90.8466295137033,13099,Rogaland,2022-04-19
total,county,county11,2020,85+,female,1900,1,1900-01,1899/1900,24,1900-01-01,6099,5989,5088,95,95,88.71839581517,5735,Rogaland,2022-04-19
total,county,county11,2020,12-15,male,1900,1,1900-01,1899/1900,24,1900-01-01,9350,484,,69.8543145311916,3.61598804632051,,13385,Rogaland,2022-04-19
total,county,county11,2020,16-17,male,1900,1,1900-01,1899/1900,24,1900-01-01,5506,4977,,88.1524175472302,79.6829971181556,,6246,Rogaland,2022-04-19
total,county,county11,2020,18-24,male,1900,1,1900-01,1899/1900,24,1900-01-01,19069,17893,7115,88.3069371121608,82.8609799018246,32.9489673057331,21594,Rogaland,2022-04-19
