granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,cum_pr100_dose_1,cum_pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,533777,469151,76.6,67.3,697010,Oslo,2021-10-22
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,358670,318341,74.3,66,482645,Rogaland,2021-10-22
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,207950,185631,78.3,69.9,265544,Møre og Romsdal,2021-10-22
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,189593,169075,78.9,70.3,240345,Nordland,2021-10-22
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,970762,853385,77.5,68.1,1252384,Viken,2021-10-22
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,298748,268530,80.6,72.5,370603,Innlandet,2021-10-22
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,333122,297702,79,70.6,421882,Vestfold og Telemark,2021-10-22
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,239203,212684,77.5,68.9,308843,Agder,2021-10-22
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,490998,434026,76.9,67.9,638821,Vestland,2021-10-22
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,375336,335455,79.7,71.2,471124,Trøndelag,2021-10-22
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,186138,167107,76.9,69,242168,Troms og Finnmark,2021-10-22
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,533767,469144,76.6,67.3,697010,Oslo,2021-10-22
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11484,10309,77.7,69.7,14787,Eigersund,2021-10-22
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,109082,96789,75.7,67.1,144147,Stavanger,2021-10-22
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,27584,24017,73.9,64.3,37323,Haugesund,2021-10-22
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,58443,52328,72.6,65,80450,Sandnes,2021-10-22
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2412,2185,74.1,67.1,3257,Sokndal,2021-10-22
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2338,2138,73.7,67.4,3174,Lund,2021-10-22
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2127,1885,76.2,67.5,2791,Bjerkreim,2021-10-22
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,13392,11814,70,61.8,19120,Hå,2021-10-22
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14382,12705,72.5,64,19848,Klepp,2021-10-22
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14058,12568,73.6,65.8,19106,Time,2021-10-22
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8563,7610,71,63.1,12064,Gjesdal,2021-10-22
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,20460,17989,74.5,65.5,27457,Sola,2021-10-22
