granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3,n_dose_4,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3,cum_pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550784,513988,359903,48397,78.7,73.4,51.4,6.9,699827,Oslo,2022-09-30
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372245,345854,253987,51326,76.6,71.2,52.3,10.6,485797,Rogaland,2022-09-30
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214425,201403,155508,32359,80.7,75.8,58.5,12.2,265848,Møre og Romsdal,2022-09-30
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,194997,183059,135045,25700,81.2,76.2,56.2,10.7,240190,Nordland,2022-09-30
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1001448,931449,697399,146201,78.9,73.4,54.9,11.5,1269230,Viken,2022-09-30
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306243,288211,220959,50395,82.5,77.6,59.5,13.6,371253,Innlandet,2022-09-30
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,342071,320179,241325,52915,80.5,75.4,56.8,12.5,424832,Vestfold og Telemark,2022-09-30
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,245957,228866,169486,33218,79.1,73.6,54.5,10.7,311134,Agder,2022-09-30
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,506122,470577,353084,71063,78.9,73.4,55.1,11.1,641292,Vestland,2022-09-30
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,385106,360989,272114,50406,81.2,76.1,57.4,10.6,474131,Trøndelag,2022-09-30
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,191918,179809,128033,20752,79.4,74.4,53,8.6,241736,Troms og Finnmark,2022-09-30
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550776,513981,359899,48396,78.7,73.4,51.4,6.9,699827,Oslo,2022-09-30
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11866,11159,9238,2046,79.9,75.1,62.2,13.8,14860,Eigersund,2022-09-30
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,112895,104985,76336,14859,78,72.6,52.8,10.3,144699,Stavanger,2022-09-30
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28713,26711,19230,3352,76.7,71.3,51.4,9,37444,Haugesund,2022-09-30
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,60583,56421,42806,8256,74.5,69.4,52.6,10.2,81305,Sandnes,2022-09-30
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2506,2357,1804,411,76.4,71.8,55,12.5,3281,Sokndal,2022-09-30
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2419,2284,1794,364,76.1,71.9,56.5,11.5,3178,Lund,2022-09-30
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2185,2049,1527,468,78.3,73.5,54.8,16.8,2789,Bjerkreim,2022-09-30
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14052,12942,9159,2030,72.8,67.1,47.5,10.5,19296,Hå,2022-09-30
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15107,13914,9314,2041,74.9,69,46.2,10.1,20163,Klepp,2022-09-30
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14719,13654,9214,2119,76.1,70.6,47.6,10.9,19353,Time,2022-09-30
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8813,8164,6296,1114,72.6,67.3,51.9,9.2,12131,Gjesdal,2022-09-30
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21201,19667,13969,2684,76.9,71.3,50.7,9.7,27568,Sola,2022-09-30
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9067,8373,6060,1008,79.2,73.1,52.9,8.8,11454,Randaberg,2022-09-30
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10315,9527,7162,1242,77.7,71.8,54,9.4,13268,Strand,2022-09-30
total,municip,municip1133,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2028,1895,1387,387,80,74.8,54.7,15.3,2534,Hjelmeland,2022-09-30
total,municip,municip1134,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3033,2823,2395,585,80.2,74.6,63.3,15.5,3784,Suldal,2022-09-30
total,municip,municip1135,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3667,3411,2691,660,81,75.4,59.5,14.6,4525,Sauda,2022-09-30
total,municip,municip1144,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,426,400,342,104,81.5,76.5,65.4,19.9,523,Kvitsøy,2022-09-30
total,municip,municip1145,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,710,685,515,161,83,80.1,60.2,18.8,855,Bokn,2022-09-30
total,municip,municip1146,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8576,7832,5573,1238,76,69.4,49.4,11,11283,Tysvær,2022-09-30
total,municip,municip1149,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,32308,30026,22171,5257,75.9,70.6,52.1,12.4,42541,Karmøy,2022-09-30
total,municip,municip1151,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,173,169,155,39,92,89.9,82.4,20.7,188,Utsira,2022-09-30
total,municip,municip1160,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6739,6270,4798,897,76.8,71.5,54.7,10.2,8775,Vindafjord,2022-09-30
total,municip,municip1505,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,19824,18926,14954,3341,82.6,78.8,62.3,13.9,24013,Kristiansund,2022-09-30
total,municip,municip1506,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,26473,24885,19151,4015,82.7,77.8,59.8,12.5,32002,Molde,2022-09-30
total,municip,municip1507,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,52941,49419,35887,6320,78.9,73.6,53.5,9.4,67114,Ålesund,2022-09-30
total,municip,municip1511,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2538,2442,1960,565,83.3,80.2,64.4,18.6,3045,Vanylven,2022-09-30
total,municip,municip1514,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1869,1752,1385,215,77.2,72.3,57.2,8.9,2422,Sande,2022-09-30
total,municip,municip1515,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6953,6511,4921,971,79.3,74.3,56.1,11.1,8765,Herøy,2022-09-30
total,municip,municip1516,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6779,6327,5123,1159,79.2,73.9,59.9,13.5,8557,Ulstein,2022-09-30
total,municip,municip1517,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3855,3621,2860,689,75.2,70.6,55.8,13.4,5126,Hareid,2022-09-30
total,municip,municip1520,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8704,8116,6688,1135,80.3,74.9,61.7,10.5,10833,Ørsta,2022-09-30
total,municip,municip1525,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3594,3364,2724,692,80.5,75.3,61,15.5,4467,Stranda,2022-09-30
total,municip,municip1528,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6207,5794,4616,1023,82.1,76.7,61.1,13.5,7558,Sykkylven,2022-09-30
total,municip,municip1531,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7405,6855,5540,1098,77.6,71.8,58,11.5,9547,Sula,2022-09-30
total,municip,municip1532,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6620,6136,4413,581,77,71.4,51.3,6.8,8597,Giske,2022-09-30
total,municip,municip1535,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5639,5329,3859,838,81.3,76.8,55.6,12.1,6936,Vestnes,2022-09-30
total,municip,municip1539,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5658,5281,3736,1086,80.6,75.2,53.2,15.5,7019,Rauma,2022-09-30
total,municip,municip1547,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2915,2802,2061,581,82.9,79.6,58.6,16.5,3518,Aukra,2022-09-30
total,municip,municip1554,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4758,4497,3477,924,81.6,77.2,59.7,15.9,5828,Averøy,2022-09-30
total,municip,municip1557,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2134,2005,1646,274,80,75.1,61.7,10.3,2669,Gjemnes,2022-09-30
total,municip,municip1560,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2480,2361,2011,582,83.8,79.8,67.9,19.7,2960,Tingvoll,2022-09-30
total,municip,municip1563,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5949,5648,4799,1316,85.8,81.5,69.2,19,6932,Sunndal,2022-09-30
total,municip,municip1566,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4980,4745,4083,1202,85.1,81.1,69.8,20.6,5849,Surnadal,2022-09-30
total,municip,municip1573,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1786,1721,1401,222,84.2,81.2,66.1,10.5,2120,Smøla,2022-09-30
total,municip,municip1576,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2806,2676,2190,460,82.9,79.1,64.7,13.6,3384,Aure,2022-09-30
total,municip,municip1577,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8797,8270,6653,1240,81.4,76.5,61.6,11.5,10809,Volda,2022-09-30
total,municip,municip1578,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2088,1947,1621,421,83.8,78.2,65.1,16.9,2491,Fjord,2022-09-30
total,municip,municip1579,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10542,9857,7715,1407,79.3,74.2,58.1,10.6,13287,Hustadvika,2022-09-30
total,municip,municip1804,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,42826,39937,29063,4339,81.1,75.6,55,8.2,52803,Bodø,2022-09-30
total,municip,municip1806,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,17454,16472,12339,3833,81.1,76.5,57.3,17.8,21530,Narvik,2022-09-30
total,municip,municip1811,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1160,1079,867,215,82.5,76.7,61.7,15.3,1406,Bindal,2022-09-30
total,municip,municip1812,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1669,1560,1157,190,84.3,78.7,58.4,9.6,1981,Sømna,2022-09-30
total,municip,municip1813,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6348,5888,4243,417,81.6,75.7,54.6,5.4,7777,Brønnøy,2022-09-30
total,municip,municip1815,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1011,936,804,258,86,79.7,68.4,22,1175,Vega,2022-09-30
total,municip,municip1816,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,371,355,280,64,80.3,76.8,60.6,13.9,462,Vevelstad,2022-09-30
total,municip,municip1818,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1391,1304,1041,205,76.2,71.5,57,11.2,1825,Herøy,2022-09-30
total,municip,municip1820,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6005,5664,4368,595,81.9,77.2,59.6,8.1,7333,Alstahaug,2022-09-30
