granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3_all,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,547868,507556,338772,78.6,72.8,48.6,697010,Oslo,2022-02-24
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,371874,343877,243972,77,71.2,50.5,482645,Rogaland,2022-02-24
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214412,200657,150241,80.7,75.6,56.6,265544,Møre og Romsdal,2022-02-24
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,195722,182977,130384,81.4,76.1,54.2,240345,Nordland,2022-02-24
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,994782,920471,667636,79.4,73.5,53.3,1252384,Viken,2022-02-24
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306016,287019,214631,82.6,77.4,57.9,370603,Innlandet,2022-02-24
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,341043,317958,233337,80.8,75.4,55.3,421882,Vestfold og Telemark,2022-02-24
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,244896,226931,163535,79.3,73.5,53,308843,Agder,2022-02-24
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,505375,467907,340615,79.1,73.2,53.3,638821,Vestland,2022-02-24
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,384814,359574,261133,81.7,76.3,55.4,471124,Trøndelag,2022-02-24
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,192724,179790,122668,79.6,74.2,50.7,242168,Troms og Finnmark,2022-02-24
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,547858,507549,338767,78.6,72.8,48.6,697010,Oslo,2022-02-24
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11867,11137,9054,80.3,75.3,61.2,14787,Eigersund,2022-02-24
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,113072,104543,72708,78.4,72.5,50.4,144147,Stavanger,2022-02-24
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28641,26491,18187,76.7,71,48.7,37323,Haugesund,2022-02-24
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,60380,55921,41442,75.1,69.5,51.5,80450,Sandnes,2022-02-24
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2480,2327,1756,76.1,71.4,53.9,3257,Sokndal,2022-02-24
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2421,2280,1768,76.3,71.8,55.7,3174,Lund,2022-02-24
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2183,2044,1495,78.2,73.2,53.6,2791,Bjerkreim,2022-02-24
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14026,12886,8869,73.4,67.4,46.4,19120,Hå,2022-02-24
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15027,13782,8903,75.7,69.4,44.9,19848,Klepp,2022-02-24
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14663,13545,8798,76.7,70.9,46,19106,Time,2022-02-24
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8850,8177,6086,73.4,67.8,50.4,12064,Gjesdal,2022-02-24
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21157,19511,13327,77.1,71.1,48.5,27457,Sola,2022-02-24
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9050,8295,5754,80,73.3,50.9,11315,Randaberg,2022-02-24
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10285,9468,6976,78.7,72.4,53.4,13070,Strand,2022-02-24
total,municip,municip1133,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2023,1888,1360,78.4,73.2,52.7,2580,Hjelmeland,2022-02-24
total,municip,municip1134,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3044,2829,2358,79.9,74.3,61.9,3809,Suldal,2022-02-24
total,municip,municip1135,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3676,3409,2592,80.6,74.7,56.8,4561,Sauda,2022-02-24
total,municip,municip1144,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,427,403,338,84.2,79.5,66.7,507,Kvitsøy,2022-02-24
total,municip,municip1145,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,701,677,493,81.6,78.8,57.4,859,Bokn,2022-02-24
total,municip,municip1146,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8563,7795,5372,76.6,69.7,48.1,11178,Tysvær,2022-02-24
total,municip,municip1149,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,32250,29886,21510,76.2,70.6,50.8,42345,Karmøy,2022-02-24
total,municip,municip1151,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,166,162,148,86.5,84.4,77.1,192,Utsira,2022-02-24
total,municip,municip1160,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6751,6260,4628,77.6,71.9,53.2,8705,Vindafjord,2022-02-24
total,municip,municip1505,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,19821,18855,14493,82.2,78.2,60.1,24099,Kristiansund,2022-02-24
total,municip,municip1506,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,26410,24746,18489,82.9,77.6,58,31870,Molde,2022-02-24
total,municip,municip1507,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,52839,49093,34227,79.3,73.6,51.3,66670,Ålesund,2022-02-24
total,municip,municip1511,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2575,2471,1909,83.5,80.1,61.9,3083,Vanylven,2022-02-24
total,municip,municip1514,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1889,1771,1342,77.3,72.4,54.9,2445,Sande,2022-02-24
total,municip,municip1515,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6934,6467,4662,78.3,73,52.6,8858,Herøy,2022-02-24
total,municip,municip1516,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6740,6257,4885,78.6,73,57,8575,Ulstein,2022-02-24
total,municip,municip1517,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3873,3624,2773,75.4,70.5,53.9,5140,Hareid,2022-02-24
total,municip,municip1520,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8689,8083,6552,80.2,74.6,60.5,10830,Ørsta,2022-02-24
total,municip,municip1525,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3648,3402,2718,81.4,75.9,60.6,4482,Stranda,2022-02-24
total,municip,municip1528,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6235,5812,4573,82.1,76.5,60.2,7596,Sykkylven,2022-02-24
total,municip,municip1531,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7406,6826,5400,78.7,72.5,57.4,9409,Sula,2022-02-24
total,municip,municip1532,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6608,6093,4264,77.7,71.6,50.1,8506,Giske,2022-02-24
total,municip,municip1535,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5624,5291,3645,80.8,76,52.4,6958,Vestnes,2022-02-24
total,municip,municip1539,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5661,5265,3602,80.6,74.9,51.3,7026,Rauma,2022-02-24
total,municip,municip1547,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2894,2784,2014,82.2,79,57.2,3522,Aukra,2022-02-24
total,municip,municip1554,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4762,4486,3280,82,77.2,56.5,5808,Averøy,2022-02-24
total,municip,municip1557,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2134,1999,1613,80.3,75.2,60.7,2658,Gjemnes,2022-02-24
total,municip,municip1560,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2480,2360,1981,83.1,79.1,66.4,2985,Tingvoll,2022-02-24
total,municip,municip1563,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5963,5641,4674,85.7,81.1,67.2,6956,Sunndal,2022-02-24
total,municip,municip1566,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4984,4742,3996,84.9,80.8,68.1,5872,Surnadal,2022-02-24
total,municip,municip1573,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1775,1703,1353,83.4,80,63.6,2128,Smøla,2022-02-24
total,municip,municip1576,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2834,2694,2149,81.7,77.7,62,3468,Aure,2022-02-24
