granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,cum_pr100_dose_1,cum_pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,493176,312710,70.8,44.9,697010,Oslo,2021-08-20
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,321307,202147,66.6,41.9,482645,Rogaland,2021-08-20
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,186602,117566,70.3,44.3,265544,Møre og Romsdal,2021-08-20
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,169525,109045,70.5,45.4,240345,Nordland,2021-08-20
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,879174,586988,70.2,46.9,1252384,Viken,2021-08-20
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,271267,177183,73.2,47.8,370603,Innlandet,2021-08-20
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,302168,214144,71.6,50.8,421882,Vestfold og Telemark,2021-08-20
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,215083,156153,69.6,50.6,308843,Agder,2021-08-20
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,443277,308207,69.4,48.2,638821,Vestland,2021-08-20
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,338346,206147,71.8,43.8,471124,Trøndelag,2021-08-20
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,167464,107445,69.2,44.4,242168,Troms og Finnmark,2021-08-20
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,493169,312704,70.8,44.9,697010,Oslo,2021-08-20
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10229,6375,69.2,43.1,14787,Eigersund,2021-08-20
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,98126,58046,68.1,40.3,144147,Stavanger,2021-08-20
