granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3_all,pr100_dose_1,pr100_dose_2,pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,8752,568,,63.475485929794,4.11952422396287,,13788,Oslo,2022-05-03
total,county,county03,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,5566,4279,,85.1460914792718,65.458161236041,,6537,Oslo,2022-05-03
total,county,county03,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,29329,27350,12531,93.7298264676744,87.4053242146304,40.0466587836758,31291,Oslo,2022-05-03
total,county,county03,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,93742,89418,53016,90.32587539265,86.1594496155403,51.0840030063017,103782,Oslo,2022-05-03
total,county,county03,2020,40-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,21989,21141,13634,91.2671730378118,87.7474785207322,56.589050761632,24093,Oslo,2022-05-03
total,county,county03,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,40083,39114,30400,93.6146857556578,91.3515659667889,70.9998365135344,42817,Oslo,2022-05-03
total,county,county03,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,32576,32097,28339,94.9377786844636,93.5418063124763,82.5896890391397,34313,Oslo,2022-05-03
total,county,county03,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,24821,24573,22648,95,95,87.7795434285493,25801,Oslo,2022-05-03
total,county,county03,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,15986,15847,14662,95,95,89.8627114488845,16316,Oslo,2022-05-03
total,county,county03,2020,85+,female,1900,1,1900-01,1899/1900,24,1900-01-01,7934,7803,6621,95,95,87.5099127676447,7566,Oslo,2022-05-03
total,county,county03,2020,12-15,male,1900,1,1900-01,1899/1900,24,1900-01-01,9004,531,,62.8639251553446,3.70732388466104,,14323,Oslo,2022-05-03
total,county,county03,2020,16-17,male,1900,1,1900-01,1899/1900,24,1900-01-01,5326,3896,,80.2833886041604,58.727766053663,,6634,Oslo,2022-05-03
total,county,county03,2020,18-24,male,1900,1,1900-01,1899/1900,24,1900-01-01,25278,22868,8624,88.8599852357015,80.3880901325272,30.3160262945126,28447,Oslo,2022-05-03
total,county,county03,2020,25-39,male,1900,1,1900-01,1899/1900,24,1900-01-01,90906,86331,48462,87.0380299490636,82.6576921603922,46.3999846807859,104444,Oslo,2022-05-03
total,county,county03,2020,40-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,22728,21900,14367,86.4149652104483,83.2667959393179,54.6252994182731,26301,Oslo,2022-05-03
total,county,county03,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,41628,40590,31511,89.8122977346278,87.5728155339806,67.9848975188781,46350,Oslo,2022-05-03
total,county,county03,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,32935,32407,28198,93.1498713126114,91.6565319455836,79.7522414231977,35357,Oslo,2022-05-03
total,county,county03,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,22934,22724,20752,95,95,86.7957672842863,23909,Oslo,2022-05-03
total,county,county03,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,13208,13106,12135,95,95,91.2749153817225,13295,Oslo,2022-05-03
total,county,county03,2020,85+,male,1900,1,1900-01,1899/1900,24,1900-01-01,3877,3822,3211,95,95,88.5060639470783,3628,Oslo,2022-05-03
total,county,county11,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,9325,592,,72.6982147033601,4.61526467607391,,12827,Rogaland,2022-05-03
total,county,county11,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,5343,5036,,90.0252737994945,84.8525695029486,,5935,Rogaland,2022-05-03
total,county,county11,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,18563,17778,9570,92.2614314115308,88.3598409542744,47.5646123260437,20120,Rogaland,2022-05-03
total,county,county11,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,42801,41188,23457,87.7069672131148,84.4016393442623,48.0676229508197,48800,Rogaland,2022-05-03
total,county,county11,2020,40-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,14743,14362,10210,90.7038267503384,88.3597883597884,62.8153070013535,16254,Rogaland,2022-05-03
total,county,county11,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,29584,29166,24346,93.1750181096658,91.8585241409719,76.6778999086643,31751,Rogaland,2022-05-03
total,county,county11,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,25942,25742,23970,95,94.5528007346189,88.0440771349862,27225,Rogaland,2022-05-03
total,county,county11,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,20809,20671,19796,95,95,92.4441953861959,21414,Rogaland,2022-05-03
