granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3_all,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,549340,511290,352124,78.5,73.1,50.3,699827,Oslo,2022-05-30
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372508,345464,250008,76.7,71.1,51.5,485797,Rogaland,2022-05-30
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214628,201332,153805,80.7,75.7,57.9,265848,Møre og Romsdal,2022-05-30
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,195725,183451,133396,81.5,76.4,55.5,240190,Nordland,2022-05-30
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,997945,926165,684537,78.6,73,53.9,1269230,Viken,2022-05-30
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306367,288038,218339,82.5,77.6,58.8,371253,Innlandet,2022-05-30
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,341630,319277,238009,80.4,75.2,56,424832,Vestfold og Telemark,2022-05-30
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,245267,227879,166822,78.8,73.2,53.6,311134,Agder,2022-05-30
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,506092,469662,347711,78.9,73.2,54.2,641292,Vestland,2022-05-30
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,385410,360797,267860,81.3,76.1,56.5,474131,Trøndelag,2022-05-30
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,192914,180398,126284,79.8,74.6,52.2,241736,Troms og Finnmark,2022-05-30
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,549332,511284,352120,78.5,73.1,50.3,699827,Oslo,2022-05-30
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11878,11172,9186,79.9,75.2,61.8,14860,Eigersund,2022-05-30
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,113130,104943,74913,78.2,72.5,51.8,144699,Stavanger,2022-05-30
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28730,26652,18859,76.7,71.2,50.4,37444,Haugesund,2022-05-30
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,60582,56341,42151,74.5,69.3,51.8,81305,Sandnes,2022-05-30
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2496,2346,1779,76.1,71.5,54.2,3281,Sokndal,2022-05-30
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2424,2286,1785,76.3,71.9,56.2,3178,Lund,2022-05-30
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2182,2048,1516,78.2,73.4,54.4,2789,Bjerkreim,2022-05-30
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14054,12924,9010,72.8,67,46.7,19296,Hå,2022-05-30
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15100,13891,9189,74.9,68.9,45.6,20163,Klepp,2022-05-30
