granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3,n_dose_4,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3,cum_pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,549580,512520,356699,6594,78.5,73.2,51,0.9,699827,Oslo,2022-07-12
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372872,346342,252120,5202,76.8,71.3,51.9,1.1,485797,Rogaland,2022-07-12
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214562,201512,154576,4740,80.7,75.8,58.1,1.8,265848,Møre og Romsdal,2022-07-12
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,195554,183509,134099,3223,81.4,76.4,55.8,1.3,240190,Nordland,2022-07-12
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1000748,930456,692069,19416,78.8,73.3,54.5,1.5,1269230,Viken,2022-07-12
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306407,288318,219485,5630,82.5,77.7,59.1,1.5,371253,Innlandet,2022-07-12
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,342265,320247,239744,6602,80.6,75.4,56.4,1.6,424832,Vestfold og Telemark,2022-07-12
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,245397,228217,167857,4379,78.9,73.4,54,1.4,311134,Agder,2022-07-12
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,506127,470356,350194,8714,78.9,73.3,54.6,1.4,641292,Vestland,2022-07-12
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,385113,360874,269936,7288,81.2,76.1,56.9,1.5,474131,Trøndelag,2022-07-12
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,192518,180301,127250,2728,79.6,74.6,52.6,1.1,241736,Troms og Finnmark,2022-07-12
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,549572,512513,356695,6594,78.5,73.2,51,0.9,699827,Oslo,2022-07-12
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11896,11189,9221,189,80.1,75.3,62.1,1.3,14860,Eigersund,2022-07-12
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,113088,105107,75700,1406,78.2,72.6,52.3,1,144699,Stavanger,2022-07-12
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28730,26710,19081,557,76.7,71.3,51,1.5,37444,Haugesund,2022-07-12
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,60687,56518,42396,810,74.6,69.5,52.1,1,81305,Sandnes,2022-07-12
