granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n,pop,pr100000,location_name
total,county,county03,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,6595,693494,950.981551390495,Oslo
total,county,county11,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1096,479892,228.38471989531,Rogaland
total,county,county15,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,453,265238,170.790007464994,Møre og Romsdal
total,county,county18,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,313,241235,129.74899993782,Nordland
total,county,county30,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,5722,1241165,461.018478606793,Viken
total,county,county34,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1171,371385,315.306218614107,Innlandet
total,county,county38,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,653,419396,155.700102051522,Vestfold og Telemark
total,county,county42,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,663,307231,215.798535955031,Agder
total,county,county46,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,3031,636531,476.174766036532,Vestland
total,county,county50,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,922,468702,196.713476793357,Trøndelag
total,county,county54,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,567,243311,233.035086781938,Troms og Finnmark
total,municip,municip0301,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,6594,693494,950.837354036228,Oslo
total,municip,municip1101,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,53,14811,357.842144352171,Eigersund
total,municip,municip1103,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,353,143574,245.866243191664,Stavanger
total,municip,municip1106,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,148,37357,396.177423240624,Haugesund
total,municip,municip1108,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,130,79537,163.445943397413,Sandnes
total,municip,municip1111,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,5,3280,152.439024390244,Sokndal
total,municip,municip1112,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,2,3202,62.4609618988133,Lund
total,municip,municip1114,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,2,2787,71.7617509867241,Bjerkreim
total,municip,municip1119,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,29,18991,152.703912379548,Hå
total,municip,municip1120,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,34,19588,173.575658566469,Klepp
total,municip,municip1121,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,22,18916,116.303658278706,Time
total,municip,municip1122,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,33,12002,274.954174304283,Gjesdal
total,municip,municip1124,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,73,27153,268.846904577763,Sola
total,municip,municip1127,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,23,11221,204.972818821852,Randaberg
total,municip,municip1130,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,18,12968,138.80320789636,Strand
total,municip,municip1133,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,8,2574,310.800310800311,Hjelmeland
total,municip,municip1134,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,5,3804,131.440588853838,Suldal
total,municip,municip1135,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,3,4595,65.2883569096844,Sauda
total,municip,municip1144,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,0,517,0,Kvitsøy
total,municip,municip1145,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1,852,117.370892018779,Bokn
total,municip,municip1146,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,32,11065,289.200180750113,Tysvær
total,municip,municip1149,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,101,42186,239.415919973451,Karmøy
total,municip,municip1151,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,0,198,0,Utsira
total,municip,municip1160,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,19,8714,218.039935735598,Vindafjord
total,municip,municip1505,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,50,24179,206.791016998222,Kristiansund
total,municip,municip1506,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,65,31967,203.334688897926,Molde
total,municip,municip1507,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,126,66258,190.165715838087,Ålesund
total,municip,municip1511,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,5,3117,160.410651267244,Vanylven
total,municip,municip1514,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,13,2461,528.240552620886,Sande
total,municip,municip1515,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,7,8900,78.6516853932584,Herøy
total,municip,municip1516,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,37,8571,431.688251079221,Ulstein
