granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3_all,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,548806,510053,347882,78.4,72.9,49.7,699827,Oslo,2022-04-21
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372266,344932,248246,76.6,71,51.1,485797,Rogaland,2022-04-21
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214500,201035,152750,80.7,75.6,57.5,265848,Møre og Romsdal,2022-04-21
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,195729,183337,132592,81.5,76.3,55.2,240190,Nordland,2022-04-21
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,996531,923782,678143,78.5,72.8,53.4,1269230,Viken,2022-04-21
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306234,287640,217224,82.5,77.5,58.5,371253,Innlandet,2022-04-21
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,341348,318699,236442,80.3,75,55.7,424832,Vestfold og Telemark,2022-04-21
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,245087,227522,165800,78.8,73.1,53.3,311134,Agder,2022-04-21
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,505773,468990,345579,78.9,73.1,53.9,641292,Vestland,2022-04-21
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,385154,360300,266036,81.2,76,56.1,474131,Trøndelag,2022-04-21
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,192889,180216,125253,79.8,74.6,51.8,241736,Troms og Finnmark,2022-04-21
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,548798,510047,347878,78.4,72.9,49.7,699827,Oslo,2022-04-21
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11883,11160,9163,80,75.1,61.7,14860,Eigersund,2022-04-21
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,113088,104812,74219,78.2,72.4,51.3,144699,Stavanger,2022-04-21
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28692,26583,18722,76.6,71,50,37444,Haugesund,2022-04-21
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,60548,56259,41966,74.5,69.2,51.6,81305,Sandnes,2022-04-21
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2488,2337,1769,75.8,71.2,53.9,3281,Sokndal,2022-04-21
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2421,2282,1774,76.2,71.8,55.8,3178,Lund,2022-04-21
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2184,2049,1509,78.3,73.5,54.1,2789,Bjerkreim,2022-04-21
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14051,12919,8968,72.8,67,46.5,19296,Hå,2022-04-21
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15069,13854,9105,74.7,68.7,45.2,20163,Klepp,2022-04-21
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14665,13566,8918,75.8,70.1,46.1,19353,Time,2022-04-21
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8848,8185,6177,72.9,67.5,50.9,12131,Gjesdal,2022-04-21
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21143,19523,13588,76.7,70.8,49.3,27568,Sola,2022-04-21
