granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,pr100_dose_1,pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,479846,218514,68.8434886156583,31.3501958365016,697010,Oslo,2021-07-28
total,county,county11,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,284647,137226,58.9764733914161,28.4320774067897,482645,Rogaland,2021-07-28
total,county,county15,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,155019,87235,58.3778959419155,32.8514295182719,265544,Møre og Romsdal,2021-07-28
total,county,county18,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,139925,79334,58.2183943913957,33.0083837816472,240345,Nordland,2021-07-28
total,county,county30,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,849313,414056,67.815701893349,33.0614252497637,1252384,Viken,2021-07-28
total,county,county34,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,226960,131493,61.2407346945384,35.4808244941352,370603,Innlandet,2021-07-28
total,county,county38,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,277131,146315,65.6892211566267,34.681498618097,421882,Vestfold og Telemark,2021-07-28
total,county,county42,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,189525,102495,61.3661310115496,33.1867647963528,308843,Agder,2021-07-28
total,county,county46,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,393596,208132,61.6128774727193,32.5806446563278,638821,Vestland,2021-07-28
total,county,county50,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,290657,144711,61.6943734558206,30.7161172005672,471124,Trøndelag,2021-07-28
total,county,county54,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,139619,76533,57.6537775428628,31.6032671533811,242168,Troms og Finnmark,2021-07-28
total,municip,municip0301,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,479839,218508,68.8424843259064,31.3493350167143,697010,Oslo,2021-07-28
total,municip,municip1101,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,7768,4578,52.5326300128491,30.9596266991276,14787,Eigersund,2021-07-28
total,municip,municip1103,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,91232,40443,63.2909460481314,28.0567753751379,144147,Stavanger,2021-07-28
total,municip,municip1106,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,20398,11552,54.6526270664202,30.9514240548723,37323,Haugesund,2021-07-28
total,municip,municip1108,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,48913,21615,60.7992541951523,26.8676196395277,80450,Sandnes,2021-07-28
total,municip,municip1111,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,2068,1123,63.4940128953024,34.4795824378262,3257,Sokndal,2021-07-28
total,municip,municip1112,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1621,967,51.0712035286705,30.466288594833,3174,Lund,2021-07-28
total,municip,municip1114,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1582,797,56.6821927624507,28.5560730920817,2791,Bjerkreim,2021-07-28
total,municip,municip1119,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,10654,5250,55.7217573221757,27.4581589958159,19120,Hå,2021-07-28
total,municip,municip1120,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,10219,5068,51.4862958484482,25.534058847239,19848,Klepp,2021-07-28
total,municip,municip1121,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,10182,5198,53.2921595310374,27.2061132628494,19106,Time,2021-07-28
total,municip,municip1122,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,6480,2895,53.7135278514589,23.9970159151194,12064,Gjesdal,2021-07-28
total,municip,municip1124,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,14795,7061,53.8842553811414,25.7165750081946,27457,Sola,2021-07-28
total,municip,municip1127,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,6559,3121,57.9673000441891,27.582854617764,11315,Randaberg,2021-07-28
total,municip,municip1130,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,7108,3606,54.3840856924254,27.5899005355777,13070,Strand,2021-07-28
total,municip,municip1133,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1441,856,55.8527131782946,33.1782945736434,2580,Hjelmeland,2021-07-28
total,municip,municip1134,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,2267,1322,59.516933578367,34.7072722499344,3809,Suldal,2021-07-28
total,municip,municip1135,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,2555,1481,56.0184170138128,32.470949353212,4561,Sauda,2021-07-28
total,municip,municip1144,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,351,202,69.2307692307692,39.8422090729783,507,Kvitsøy,2021-07-28
total,municip,municip1145,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,499,301,58.0908032596042,35.0407450523865,859,Bokn,2021-07-28
total,municip,municip1146,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,6270,3673,56.0923242082663,32.8591876901056,11178,Tysvær,2021-07-28
total,municip,municip1149,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,26115,13310,61.6719801629472,31.4322824418467,42345,Karmøy,2021-07-28
total,municip,municip1151,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,151,100,78.6458333333334,52.0833333333333,192,Utsira,2021-07-28
total,municip,municip1160,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,5412,2702,62.1711659965537,31.0396323951752,8705,Vindafjord,2021-07-28
total,municip,municip1505,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,14937,8843,61.9818249719905,36.6944686501515,24099,Kristiansund,2021-07-28
