granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3,n_dose_4,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3,cum_pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550803,514059,360331,56465,78.7,73.5,51.5,8.1,699827,Oslo,2022-10-14
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372221,345839,254106,53639,76.6,71.2,52.3,11,485797,Rogaland,2022-10-14
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214394,201380,155556,35283,80.6,75.8,58.5,13.3,265848,Møre og Romsdal,2022-10-14
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,194868,182942,135095,28389,81.1,76.2,56.2,11.8,240190,Nordland,2022-10-14
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1001683,931701,698195,160809,78.9,73.4,55,12.7,1269230,Viken,2022-10-14
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306248,288201,221159,55873,82.5,77.6,59.6,15,371253,Innlandet,2022-10-14
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,342145,320261,241600,59235,80.5,75.4,56.9,13.9,424832,Vestfold og Telemark,2022-10-14
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,245931,228846,169620,37238,79,73.6,54.5,12,311134,Agder,2022-10-14
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,506103,470572,353340,76370,78.9,73.4,55.1,11.9,641292,Vestland,2022-10-14
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,385087,360959,272347,55712,81.2,76.1,57.4,11.8,474131,Trøndelag,2022-10-14
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,191843,179739,128100,22898,79.4,74.4,53,9.5,241736,Troms og Finnmark,2022-10-14
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550795,514052,360327,56464,78.7,73.5,51.5,8.1,699827,Oslo,2022-10-14
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11856,11147,9228,2155,79.8,75,62.1,14.5,14860,Eigersund,2022-10-14
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,112850,104959,76359,15723,78,72.5,52.8,10.9,144699,Stavanger,2022-10-14
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28691,26699,19244,3694,76.6,71.3,51.4,9.9,37444,Haugesund,2022-10-14
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,60605,56444,42826,8351,74.5,69.4,52.7,10.3,81305,Sandnes,2022-10-14
